elof_vals	prophi_vals	logprob	prob
19.25	51	-86.0205340605799	4.3828512073772e-38
19.5	51	-87.2346180183816	1.30162764428545e-38
19.75	51	-86.1635568049939	3.79876771562952e-38
20	51	-85.7936494593054	5.49909797624073e-38
20.25	51	-85.2134976503212	9.82309144037355e-38
20.5	51	-86.0145038741567	4.40936046477498e-38
20.75	51	-85.1683662591649	1.02765774797572e-37
21	51	-85.8385358936695	5.25772088015108e-38
21.25	51	-84.867651109735	1.3881852672801e-37
21.5	51	-85.8417487597014	5.24085563472451e-38
21.75	51	-84.6842986296968	1.66754054121185e-37
22	51	-84.7044075285896	1.63434303834247e-37
22.25	51	-84.010162578556	3.27227631074304e-37
22.5	51	-84.4964034059837	2.01223296799417e-37
22.75	51	-83.8529873474773	3.82921987058348e-37
23	51	-84.6257847334806	1.76802606596402e-37
23.25	51	-83.3771588402439	6.16254351459546e-37
23.5	51	-83.1439924830683	7.78077507848e-37
23.75	51	-83.7501697087288	4.2438833395572e-37
24	51	-82.547187581176	1.41322703492552e-36
24.25	51	-83.5685570257255	5.08905123349814e-37
24.5	51	-82.791018664792	1.10743295404209e-36
24.75	51	-82.8403188480387	1.05416027249209e-36
25	51	-82.859992679626	1.0336235809366e-36
0	100	-104.787841327408	3.09897976828262e-46
0.25	100	-103.596379449301	1.02015006133539e-45
0.5	100	-104.450870685035	4.34073458363221e-46
0.75	100	-104.717262765612	3.32560466634355e-46
1	100	-105.105228728395	2.25620804820052e-46
1.25	100	-103.683379277181	9.35148356292424e-46
1.5	100	-102.717296128869	2.45722596182047e-45
1.75	100	-101.807190335536	6.10518768055493e-45
2	100	-100.99229413971	1.37912598183972e-44
2.25	100	-100.555015085101	2.13556021199322e-44
2.5	100	-100.369154595427	2.57175744595128e-44
2.75	100	-98.9811077152615	1.03050738060565e-43
3	100	-99.0197112755237	9.91484189907537e-44
3.25	100	-98.6182475815933	1.4812871668794e-43
3.5	100	-97.0961544790267	6.78696947211284e-43
3.75	100	-96.3360447616425	1.45140077830694e-42
4	100	-95.9498210549251	2.1356111332983e-42
4.25	100	-96.513444647923	1.21546808509979e-42
4.5	100	-95.494715988408	3.36644710710766e-42
4.75	100	-95.4245773444669	3.61104267861695e-42
5	100	-95.0745702178277	5.1243500010736e-42
5.25	100	-93.7933346100816	1.84532276518939e-41
5.5	100	-93.231046688942	3.23795553789732e-41
5.75	100	-92.6330031097607	5.88840817954352e-41
6	100	-92.0175126156873	1.08968765929785e-40
6.25	100	-91.4099298442382	2.00065349666849e-40
6.5	100	-90.9676263344452	3.11359306386305e-40
6.75	100	-90.48600455868	5.03996511827357e-40
7	100	-91.015076867858	2.969301832368e-40
7.25	100	-89.9009645180391	9.04705419783659e-40
7.5	100	-88.9334148639545	2.38072190427144e-39
7.75	100	-89.0387868534409	2.14262512958988e-39
8	100	-88.501332625824	3.66741113721686e-39
8.25	100	-87.7294664131822	7.9355464197965e-39
8.5	100	-87.9471574610713	6.38314655167676e-39
8.75	100	-87.173006547343	1.38434483781439e-38
9	100	-87.5359604209017	9.6297590609536e-39
9.25	100	-86.0733829501145	4.1572366372618e-38
9.5	100	-85.8000272495286	5.46413748677021e-38
9.75	100	-85.6354187803843	6.44184347728068e-38
10	100	-84.3053479387141	2.43586152273905e-37
10.25	100	-84.9409185119678	1.29011315142765e-37
10.5	100	-83.8948158357205	3.67235301477679e-37
10.75	100	-84.0159152849836	3.25350590785107e-37
11	100	-83.3416835599472	6.3850855043295e-37
11.25	100	-82.8819072173913	1.01121859207782e-36
11.5	100	-83.4025186054016	6.00822783318469e-37
11.75	100	-82.2575527428354	1.88798591033697e-36
12	100	-81.2633273094548	5.10252766903957e-36
12.25	100	-81.9899036824697	2.46738692444486e-36
12.5	100	-81.2375850278861	5.23558360717421e-36
12.75	100	-80.4663160516734	1.13219950239571e-35
13	100	-78.9450417640409	5.18327186347776e-35
13.25	100	-79.7003813464649	2.43536564706455e-35
13.5	100	-80.6847506617321	9.10034828669477e-36
13.75	100	-79.7508005504318	2.31562054209614e-35
14	100	-77.9065914099123	1.46418936065615e-34
14.25	100	-78.3455422759619	9.43981118935461e-35
14.5	100	-78.0258256495866	1.29961427930107e-34
14.75	100	-77.663780380451	1.86658914985345e-34
15	100	-77.2621610104439	2.78913678346749e-34
15.25	100	-76.4848594141924	6.06802843543617e-34
15.5	100	-76.6775756755393	5.00439980381337e-34
15.75	100	-76.2406371930533	7.74661496115983e-34
16	100	-76.2498218656174	7.67579058649093e-34
16.25	100	-76.1806247418978	8.2257412971213e-34
16.5	100	-74.8013852979517	3.26716543929565e-33
16.75	100	-74.2477083025687	5.68368486504001e-33
17	100	-74.2500148948861	5.67059002922519e-33
17.25	100	-75.6736686170148	1.36566221718454e-33
17.5	100	-73.9202129246008	7.8860481737281e-33
17.75	100	-74.0420021079627	6.98179439819397e-33
18	100	-73.1451826899433	1.71179116268554e-32
18.25	100	-73.064619451902	1.85540597007534e-32
18.5	100	-72.4549626818793	3.4135755622566e-32
18.75	100	-72.2310136408225	4.27040783755272e-32
19	100	-72.5908367000072	2.97988966839157e-32
19.25	100	-72.1149160774799	4.79611827640255e-32
19.5	100	-71.7458401967832	6.93709278038064e-32
19.75	100	-71.734956315024	7.01300765280504e-32
20	100	-70.3923454125984	2.68530004472131e-31
20.25	100	-70.8225075342018	1.74652892812839e-31
20.5	100	-70.3984364302894	2.66899354664244e-31
20.75	100	-69.5541111974814	6.20916660802972e-31
21	100	-70.0547758562025	3.76354761279323e-31
21.25	100	-69.0372551341836	1.04112062349914e-30
21.5	100	-69.9504309155188	4.17747487579365e-31
21.75	100	-69.1841660653462	8.98873222058112e-31
22	100	-68.6522732348666	1.53001808401903e-30
22.25	100	-68.1186301277577	2.60888430883189e-30
22.5	100	-68.2368941853872	2.31789304882688e-30
22.75	100	-68.0712941382268	2.73534795712828e-30
23	100	-68.0649503682644	2.75275553178155e-30
23.25	100	-67.5633055072122	4.54599798693526e-30
23.5	100	-66.9190327572214	8.65831414893651e-30
23.75	100	-67.1027056899326	7.20551784510956e-30
24	100	-67.2549821971062	6.1877441933943e-30
24.25	100	-66.3865348327713	1.47466797691456e-29
24.5	100	-66.6332969142799	1.15219726264255e-29
24.75	100	-65.3641138610631	4.09945417075751e-29
25	100	-65.6950921275992	2.9443131651113e-29
0	149	-103.467107093311	1.16093079334933e-45
0.25	149	-104.049438378522	6.48489676893214e-46
0.5	149	-104.351148780887	4.79591971406539e-46
0.75	149	-103.742508479289	8.8145679221004e-46
1	149	-103.546229831364	1.07261474384806e-45
1.25	149	-103.085353504586	1.70059073205614e-45
1.5	149	-103.021948296218	1.81190882407257e-45
1.75	149	-99.7491673774135	4.78065092650163e-44
2	149	-99.9381729588745	3.95733624239633e-44
2.25	149	-99.1510192686523	8.69479719391997e-44
2.5	149	-98.3871343041508	1.86642473531688e-43
2.75	149	-97.4854795534291	4.59826677898085e-43
3	149	-97.2806852401432	5.64332684984587e-43
3.25	149	-95.0270964799047	5.37348904100598e-42
3.5	149	-93.5379739362521	2.38217724066309e-41
3.75	149	-93.2518603423036	3.1712583674205e-41
4	149	-92.755283223716	5.21065511154427e-41
4.25	149	-90.9167939077263	3.27595625273455e-40
4.5	149	-90.5364391425807	4.79208010550494e-40
4.75	149	-91.4213881344735	1.97786026336584e-40
5	149	-90.5083798219081	4.92844685001369e-40
5.25	149	-88.9473828484761	2.34769918488428e-39
5.5	149	-87.4595825315008	1.03940766942903e-38
5.75	149	-88.0609322096892	5.69669633851136e-39
6	149	-86.7251671713776	2.16639904388191e-38
6.25	149	-85.8226037124084	5.34215869542859e-38
6.5	149	-86.7847308593028	2.04112815972632e-38
6.75	149	-83.9971983662576	3.31497497477587e-37
7	149	-84.9145794201633	1.32454502169417e-37
7.25	149	-82.6959987341524	1.21782272611481e-36
7.5	149	-83.5209720320989	5.33706784079412e-37
7.75	149	-82.3271081964857	1.76112912439874e-36
8	149	-81.9251540124128	2.63243516323664e-36
8.25	149	-80.8541134174683	7.68253776184544e-36
8.5	149	-80.6774083044435	9.16741219757836e-36
8.75	149	-79.4902479511316	3.00485797405336e-35
9	149	-78.7855679908141	6.07942588054428e-35
9.25	149	-79.0125254977219	4.84502670439064e-35
9.5	149	-78.1828251075611	1.11078620149038e-34
9.75	149	-77.9350127042946	1.42316100504411e-34
10	149	-76.281801397762	7.43420586637188e-34
10.25	149	-75.9448516435451	1.04128593494837e-33
10.5	149	-74.9617605136618	2.7830502964946e-33
10.75	149	-74.7224315921928	3.53557687868712e-33
11	149	-74.2986865208852	5.40120214326982e-33
11.25	149	-73.6057446118074	1.08001870885727e-32
11.5	149	-73.6832014637651	9.99521626501495e-33
11.75	149	-72.1425985988301	4.66517047471741e-32
12	149	-72.2908472324321	4.02238794876101e-32
12.25	149	-71.3381637317736	1.04286752136343e-31
12.5	149	-71.0235346735931	1.42846895408065e-31
12.75	149	-71.4535670930544	9.29201921445323e-32
13	149	-70.028340241573	3.86436603431929e-31
13.25	149	-69.3822791068003	7.37325140152276e-31
13.5	149	-69.3285217218955	7.78046543475841e-31
13.75	149	-68.0943430271873	2.67302225409337e-30
14	149	-68.1565678819465	2.51176302726189e-30
14.25	149	-67.8435405612652	3.43498386543698e-30
14.5	149	-67.5878348869869	4.4358440034675e-30
14.75	149	-66.2728734378318	1.65217773815814e-29
15	149	-66.9697612280329	8.23004565275549e-30
15.25	149	-66.1541182566057	1.8605077609377e-29
15.5	149	-65.1026240480555	5.32463225316316e-29
15.75	149	-65.8353761065707	2.55893611044653e-29
16	149	-65.1069851328452	5.30146164165741e-29
16.25	149	-63.987806883439	1.62348605067756e-28
16.5	149	-63.6524790594992	2.2702808455203e-28
16.75	149	-63.3513938488102	3.06788609193197e-28
17	149	-62.6082541048575	6.45031198222944e-28
17.25	149	-61.7900673566111	1.46189005135513e-27
17.5	149	-61.9992784006192	1.18592031491541e-27
17.75	149	-62.9327591900045	4.66283398151576e-28
18	149	-60.7089858440899	4.30945595129141e-27
18.25	149	-60.577837461409	4.91336994437285e-27
18.5	149	-61.2239255460862	2.57505775953896e-27
18.75	149	-60.3523107733038	6.15636642562068e-27
19	149	-59.2391637888903	1.87395023685049e-26
19.25	149	-59.2487473549441	1.85607689295764e-26
19.5	149	-58.9725039765394	2.44662235144489e-26
19.75	149	-58.3909565438072	4.376528691761e-26
20	149	-58.8619232906371	2.73269725574577e-26
20.25	149	-57.2126560831886	1.42186763258134e-25
20.5	149	-57.9295692792392	6.94236947116869e-26
20.75	149	-57.1852490350067	1.46137575479974e-25
21	149	-56.3307687658396	3.43445605358613e-25
21.25	149	-56.3960177180273	3.21751591487432e-25
21.5	149	-55.8703603910566	5.44265467624111e-25
21.75	149	-55.591964892436	7.18979336727426e-25
22	149	-55.7938778858138	5.87525485719439e-25
22.25	149	-55.4106958002406	8.61867641386717e-25
22.5	149	-55.1964845272983	1.06775434982953e-24
22.75	149	-54.4776387874912	2.1910994380582e-24
23	149	-53.9286008042679	3.79407799055548e-24
23.25	149	-53.5750627339585	5.40313584953515e-24
23.5	149	-53.44999409087	6.12297531512173e-24
23.75	149	-53.3316231282045	6.89239826563674e-24
24	149	-52.7960437881023	1.17752331926704e-23
24.25	149	-53.3485612750239	6.77663697043661e-24
24.5	149	-52.8412005024286	1.12553292706275e-23
24.75	149	-52.7214962915308	1.26865952044783e-23
25	149	-52.4081414125657	1.73553500534929e-23
0	198	-103.578296589037	1.0387650915967e-45
0.25	198	-105.418225649947	1.64985701697546e-46
0.5	198	-103.899305432856	7.53537685581114e-46
0.75	198	-103.992667940566	6.86369781887417e-46
1	198	-103.089118205505	1.69420055266737e-45
1.25	198	-102.683688137914	2.54121178206666e-45
1.5	198	-102.248761991701	3.92578838322115e-45
