gene_id	ensembl_gene_id	ensembl_gene_version	symbol	hgnc_id
ENSG00000077152.12	ENSG00000077152	12	UBE2T	HGNC:25009
ENSG00000133067.18	ENSG00000133067	18	LGR6	HGNC:19719
ENSG00000143851.16	ENSG00000143851	16	PTPN7	HGNC:9659
ENSG00000143862.8	ENSG00000143862	8	ARL8A	HGNC:25192
ENSG00000170075.10	ENSG00000170075	10	GPR37L1	HGNC:14923
ENSG00000163435.16	ENSG00000163435	16	ELF3	HGNC:3318
ENSG00000176393.11	ENSG00000176393	11	RNPEP	HGNC:10078
ENSG00000134375.11	ENSG00000134375	11	TIMM17A	HGNC:17315
ENSG00000163431.13	ENSG00000163431	13	LMOD1	HGNC:6647
ENSG00000198892.7	ENSG00000198892	7	SHISA4	HGNC:27139
ENSG00000198700.10	ENSG00000198700	10	IPO9	HGNC:19425
ENSG00000134369.16	ENSG00000134369	16	NAV1	HGNC:15989
ENSG00000159176.14	ENSG00000159176	14	CSRP1	HGNC:2469
ENSG00000174307.7	ENSG00000174307	7	PHLDA3	HGNC:8934
ENSG00000159173.19	ENSG00000159173	19	TNNI1	HGNC:11945
ENSG00000159166.15	ENSG00000159166	15	LAD1	HGNC:6472
ENSG00000118194.21	ENSG00000118194	21	TNNT2	HGNC:11949
ENSG00000081277.13	ENSG00000081277	13	PKP1	HGNC:9023
ENSG00000163395.17	ENSG00000163395	17	IGFN1	HGNC:24607
ENSG00000116857.17	ENSG00000116857	17	TMEM9	HGNC:18823
ENSG00000232237.5	ENSG00000232237	5	ASCL5	HGNC:33169
ENSG00000081248.12	ENSG00000081248	12	CACNA1S	HGNC:1397
ENSG00000116852.15	ENSG00000116852	15	KIF21B	HGNC:29442
ENSG00000163362.11	ENSG00000163362	11	INAVA	HGNC:25599
ENSG00000170128.5	ENSG00000170128	5	GPR25	HGNC:4480
ENSG00000118200.15	ENSG00000118200	15	CAMSAP2	HGNC:29188
ENSG00000118197.14	ENSG00000118197	14	DDX59	HGNC:25360
ENSG00000118193.12	ENSG00000118193	12	KIF14	HGNC:19181
ENSG00000162702.8	ENSG00000162702	8	ZNF281	HGNC:13075
ENSG00000116833.14	ENSG00000116833	14	NR5A2	HGNC:7984
ENSG00000081237.21	ENSG00000081237	21	PTPRC	HGNC:9666
